,id,loss
0,4,1580.19335938
1,6,2028.10400391
2,9,10240.2070312
3,12,5478.76464844
4,15,596.344726562
5,17,2187.81469727
6,21,2167.21020508
7,28,641.71496582
8,32,2813.12841797
9,43,3144.92333984
10,46,2581.83691406
11,50,916.902282715
12,54,1394.08312988
13,62,2437.27612305
14,70,2740.79663086
15,71,4696.75488281
16,75,2746.7199707
17,77,2142.86865234
18,81,3639.53735352
19,83,2777.50048828
20,87,2317.89501953
21,97,2474.83300781
22,103,1540.35144043
23,119,1539.97717285
24,120,1745.76342773
25,127,1468.33398438
26,138,4325.01855469
27,141,3005.34204102
28,148,1502.3737793
29,150,2381.13134766
30,151,2960.34765625
31,158,1926.97570801
32,160,5873.09472656
33,165,2618.97216797
34,168,3831.61450195
35,169,3601.45214844
36,177,3093.65844727
37,178,3566.30541992
38,184,2078.08813477
39,194,9562.77929688
40,198,1883.31738281
41,203,5577.06103516
42,211,3109.14624023
43,217,961.838012695
44,219,1030.25439453
45,221,5412.27001953
46,227,1890.1776123
47,230,1620.10949707
48,235,2676.81469727
49,240,553.809082031
50,243,3457.10253906
51,249,7050.26171875
52,253,2795.63061523
53,258,1549.53100586
54,261,2034.24291992
55,263,3457.31494141
56,264,3754.03125
57,265,4357.43212891
58,268,1711.90893555
59,271,1398.45227051
60,274,4845.71923828
61,275,441.510284424
62,279,2302.45678711
63,282,1516.96276855
64,286,3186.94360352
65,288,1480.33935547
66,294,2962.72241211
67,296,1234.70800781
68,297,1881.46203613
69,300,919.154785156
70,303,10343.6318359
71,314,1511.25061035
72,315,5185.82226562
73,321,2810.1887207
74,323,3826.28710938
75,330,4069.75976562
76,341,1877.84667969
77,342,4271.60205078
78,352,1933.22351074
79,353,3638.11035156
80,360,6494.04541016
81,361,2320.69970703
82,362,3090.96655273
83,366,1349.72595215
84,372,3250.27319336
85,376,3441.80566406
86,377,2887.90136719
87,379,1567.59570312
88,380,4244.203125
89,387,2142.45483398
90,392,2039.66552734
91,394,9446.63476562
92,395,1772.12414551
93,397,1810.48999023
94,407,6191.82568359
95,411,9288.875
96,416,2926.13867188
97,417,2123.30419922
98,419,3920.46508789
99,428,6798.15087891
100,431,1719.90087891
101,436,9331.63964844
102,438,1335.57958984
103,445,6948.90136719
104,446,8478.83398438
105,455,1824.96557617
106,456,1189.3614502
107,461,751.294006348
108,463,1758.49633789
109,464,3799.46044922
110,466,2276.13720703
111,467,2401.44458008
112,470,1176.87646484
113,475,1422.81555176
114,482,4187.51757812
115,490,3197.98608398
116,496,2302.39624023
117,497,4887.56494141
118,508,3304.50341797
119,510,2443.77905273
120,512,2485.51464844
121,513,3518.80224609
122,523,2009.6348877
123,531,5145.55957031
124,532,3365.47119141
125,533,1531.19580078
126,537,1075.96105957
127,544,4593.19921875
128,547,3284.32080078
129,556,8458.0859375
130,565,1743.20422363
131,566,1584.14758301
132,571,1190.30615234
133,573,2147.46020508
134,574,898.0859375
135,581,2335.67480469
136,585,2190.16772461
137,589,2334.78149414
138,597,1825.5534668
139,601,3727.69702148
140,602,2202.93774414
141,613,2487.89257812
142,616,1845.26745605
143,619,1879.42724609
144,622,2428.51904297
145,623,2339.76757812
146,629,1421.37780762
147,634,2051.96044922
148,638,592.772521973
149,642,1206.58203125
150,643,2276.14501953
151,645,954.193664551
152,648,6564.37548828
153,652,1871.46801758
154,664,1087.96948242
155,666,2196.05273438
156,672,730.082702637
157,676,2525.26489258
158,678,4776.12353516
159,682,1662.89831543
160,686,3285.97998047
161,688,2289.15405273
162,689,1540.49755859
163,690,2111.72802734
164,692,9585.80175781
165,695,2002.46508789
166,697,4225.29003906
167,698,2291.07836914
168,706,2635.2824707
169,708,1718.96496582
170,712,3720.50439453
171,715,3988.0168457
172,717,1151.98413086
173,725,2503.74072266
174,729,1633.88354492
175,737,1333.8326416
176,739,4664.58349609
177,747,4296.86816406
178,753,2748.97070312
179,758,2727.72460938
180,759,2732.47265625
181,763,1938.72302246
182,773,4130.29638672
183,774,2048.39306641
184,776,1828.98303223
185,788,4123.54150391
186,790,3461.3762207
187,794,1395.12097168
188,801,3783.05029297
189,802,1930.66491699
190,805,1439.77758789
191,809,4788.85546875
192,812,1398.06970215
193,825,2502.34228516
194,828,2371.70825195
195,830,1750.84558105
196,833,1328.48706055
197,850,5276.51123047
198,852,5427.30273438
199,862,1866.60229492
200,863,1957.33996582
201,864,1341.92492676
202,865,3663.67114258
203,868,7994.58007812
204,872,1474.54980469
205,879,5616.23046875
206,880,1830.29296875
207,883,1732.98193359
208,886,1880.99926758
209,923,1828.6439209
210,924,2258.39208984
211,932,1457.75024414
212,945,6952.10205078
213,947,7093.87451172
214,948,2026.99328613
215,955,4252.99609375
216,963,4763.26269531
217,979,1692.85522461
218,989,1750.28918457
219,994,2555.61816406
220,995,2168.91918945
221,998,1876.89990234
222,1000,3637.54077148
223,1018,2135.35595703
224,1019,2144.04394531
225,1028,2097.82495117
226,1034,856.916564941
227,1038,1881.49377441
228,1040,1654.96740723
229,1042,1368.08703613
230,1057,8285.12792969
231,1058,2309.64257812
232,1063,1636.67663574
233,1066,4145.28857422
234,1071,4289.54052734
235,1073,4718.20947266
236,1074,2401.64526367
237,1077,3023.0390625
238,1080,11973.3046875
239,1088,1091.43908691
240,1096,1153.05773926
241,1097,10268.4648438
242,1105,6780.07861328
243,1115,2204.81616211
244,1116,2514.97192383
245,1122,1999.9342041
246,1130,4648.98925781
247,1133,1478.17700195
248,1137,2519.91210938
249,1140,1876.68115234
250,1143,8107.31005859
251,1149,7239.49462891
252,1150,991.798522949
253,1153,805.517333984
254,1157,1506.72851562
255,1180,337.662414551
256,1183,934.589538574
257,1188,1665.04467773
258,1193,1376.25073242
259,1200,385.046081543
260,1209,3427.01269531
261,1214,2197.38500977
262,1219,2028.98876953
263,1223,5708.52832031
264,1227,966.714416504
265,1228,1312.98327637
266,1229,5909.48583984
267,1233,1465.77539062
268,1238,5207.53759766
269,1239,1783.59130859
270,1241,3594.72558594
271,1243,2231.60864258
272,1244,1844.17980957
273,1245,3361.53344727
274,1277,4562.39941406
275,1279,3239.4621582
276,1292,12560.1699219
277,1293,2091.93457031
278,1299,10133.1269531
279,1304,2792.69140625
280,1313,5258.84521484
281,1328,2664.14013672
282,1330,953.724182129
283,1334,1699.60107422
284,1335,1609.06628418
285,1336,4856.5546875
286,1341,876.240661621
287,1344,1398.62670898
288,1351,1559.72045898
289,1352,2140.09692383
290,1354,2312.72631836
291,1368,5319.65820312
292,1373,1789.89794922
293,1375,613.883178711
294,1381,2291.26269531
295,1384,3713.0690918
296,1385,3608.7746582
297,1388,5848.00439453
298,1401,5614.37841797
299,1402,2306.88378906
300,1404,1380.69726562
301,1406,1631.4440918
302,1409,835.84753418
303,1422,1427.47827148
304,1429,3701.20092773
305,1433,5645.11914062
306,1438,1374.85620117
307,1444,1417.67932129
308,1446,1501.67871094
309,1450,1331.14172363
310,1451,699.042602539
311,1454,1826.12145996
312,1458,2293.33178711
313,1461,3276.32861328
314,1464,6881.36474609
315,1465,1565.85534668
316,1478,2753.71582031
317,1479,2062.70874023
318,1480,2513.12841797
319,1484,2299.73461914
320,1486,1481.05505371
321,1488,1147.8861084
322,1489,3103.16821289
323,1491,1137.30554199
324,1507,2586.58642578
325,1515,1843.17321777
326,1519,3691.73681641
327,1528,2099.88720703
328,1529,1000.69226074
329,1530,3231.43334961
330,1532,1137.80212402
331,1541,1724.89074707
332,1542,3441.30517578
333,1547,1851.66113281
334,1549,753.579833984
335,1553,2696.30395508
336,1554,4286.70605469
337,1555,1814.9284668
338,1559,2007.94189453
339,1565,1570.02636719
340,1568,985.136352539
341,1576,3177.37573242
342,1579,662.402709961
343,1592,1001.31799316
344,1596,3484.27636719
345,1605,1290.4831543
346,1607,2107.49462891
347,1612,1936.91455078
348,1617,2899.50952148
349,1619,2278.43652344
350,1620,8549.70996094
351,1624,2420.82714844
352,1627,1635.42944336
353,1633,2571.42163086
354,1636,1497.07373047
355,1639,1197.83776855
356,1640,3781.07055664
357,1644,1294.97570801
358,1646,1873.6229248
359,1647,3035.45922852
360,1654,1171.60852051
361,1655,3613.44165039
362,1664,5168.33837891
363,1665,2742.17895508
364,1667,5128.64013672
365,1669,1278.41784668
366,1678,2188.47412109
367,1682,2349.63256836
368,1689,949.000854492
369,1690,3342.03735352
370,1693,8187.53955078
371,1695,772.251281738
372,1705,2528.2487793
373,1706,3720.82519531
374,1708,2505.29443359
375,1716,1991.13439941
376,1720,8855.9453125
377,1722,1349.40576172
378,1749,4628.4765625
379,1750,2737.52978516
380,1751,7261.39648438
381,1760,3203.03515625
382,1763,3804.79589844
383,1770,1928.95263672
384,1777,2598.3359375
385,1785,5569.19384766
386,1791,1120.11291504
387,1794,4910.83740234
388,1800,1799.52539062
389,1816,1485.93188477
390,1817,1336.32763672
391,1821,2510.4934082
392,1836,1136.27929688
